date	close
5:10	8
5:40	47
5:50	16
6:00	32
6:20	48
6:30	27
6:40	45
7:00	50
7:10	27
7:30	51
7:50	38
8:10	60
8:30	47
8:40	42
9:00	49
9:20	53
9:40	62
10:00	27
10:10	54
10:40	49
11:00	41
11:10	52
11:30	34
11:40	59
12:00	42
12:10	64
12:30	47
12:40	62
13:00	3
13:10	51
13:30	43
13:50	52
14:00	49
14:10	72
14:30	48
14:40	64
15:00	56
15:20	55
15:30	53
15:40	57
16:00	64
16:20	54
16:30	39
16:40	68
17:00	59
17:20	70
17:30	51
17:40	65
17:50	57
18:00	48
18:20	59
18:30	31
18:40	54
19:00	31
19:10	66
19:40	38
19:50	57
20:20	40
20:30	57
21:00	27
21:10	42
21:40	24
21:50	44
22:20	29
22:30	56
23:00	28
23:10	41
23:40	30
23:50	43
