date	close
4:40	27
4:50	25
5:00	29
5:10	28
5:20	25
5:30	28
5:40	27
5:50	19
6:00	28
6:10	33
6:20	37
6:30	29
6:40	34
6:50	36
7:00	41
7:10	61
7:20	49
7:30	48
7:40	55
7:50	60
8:00	53
8:10	54
8:20	50
8:30	46
8:40	43
8:50	46
9:00	48
9:10	42
9:20	45
9:30	52
9:40	45
9:50	39
10:00	38
10:10	42
10:20	56
10:30	49
10:40	38
10:50	47
11:00	41
11:10	49
11:20	54
11:30	45
11:50	49
12:00	49
12:10	56
12:20	52
12:30	46
12:40	36
12:50	53
13:00	51
13:10	49
13:20	48
13:30	62
13:40	49
13:50	48
14:00	38
14:10	48
14:20	55
14:30	43
14:40	47
14:50	59
15:00	47
15:10	43
15:20	35
15:30	38
15:40	38
15:50	51
16:00	48
16:10	43
16:20	41
16:30	61
16:40	54
16:50	44
17:00	59
17:10	50
17:20	50
17:30	54
17:40	53
17:50	52
18:00	45
18:10	48
18:20	46
18:30	47
18:40	53
18:50	47
19:00	60
19:10	45
19:20	42
19:30	39
19:40	39
19:50	44
20:00	49
20:10	16
20:20	36
20:30	43
20:40	28
20:50	45
21:00	25
21:10	32
21:20	43
21:30	50
21:40	45
21:50	48
22:00	32
22:10	34
22:20	47
22:30	41
22:40	26
22:50	42
23:00	35
23:10	32
23:30	30
23:40	36
23:50	33
