date	close
4:40	4.04
5:10	2.68
5:30	6.39
5:40	3.78
6:00	3.20
6:10	4.00
6:20	3.92
6:30	4.78
6:40	5.60
6:50	5.45
7:00	3.65
7:10	5.13
7:20	8.06
7:30	6.03
7:40	5.22
7:50	6.59
8:00	5.01
8:10	5.14
8:20	5.51
8:30	4.47
8:40	15.59
8:50	6.93
9:00	4.92
9:10	5.48
9:20	6.04
9:40	3.96
10:00	3.62
10:10	4.37
10:30	5.13
10:50	11.91
11:00	4.83
11:20	5.46
11:40	3.15
12:00	8.13
12:10	5.19
12:30	4.75
12:50	4.96
13:00	5.37
13:20	4.01
13:40	4.78
13:50	4.73
14:00	6.91
14:10	6.81
14:20	5.36
14:30	4.25
14:40	7.96
14:50	4.61
15:00	7.22
15:10	5.64
15:20	3.78
15:30	6.38
15:40	4.66
15:50	6.16
16:00	5.63
16:10	4.53
16:20	7.06
16:30	6.98
16:40	6.40
16:50	6.14
17:00	7.52
17:10	5.96
17:20	5.51
17:30	5.39
17:40	4.97
17:50	4.94
18:00	8.08
18:10	5.07
18:20	5.98
18:30	5.16
18:40	4.61
18:50	5.26
19:00	4.48
19:10	3.33
19:20	7.66
19:30	3.33
19:40	7.88
19:50	3.44
20:00	5.23
20:10	3.22
20:20	6.44
20:30	2.44
20:40	6.83
20:50	3.78
21:00	4.44
21:10	2.67
21:20	4.41
21:30	2.67
21:40	4.92
21:50	10.44
22:00	4.95
22:10	2.78
22:20	4.19
22:30	3.56
22:40	4.46
22:50	3.67
23:00	4.74
23:10	3.22
23:20	5.14
23:40	5.11
