date	close
4:40	21
5:00	18
5:20	17
5:40	21
5:50	66
6:00	25
6:10	21
6:20	18
6:30	24
6:40	30
6:50	45
7:00	29
7:10	23
7:20	30
7:30	28
7:40	28
7:50	28
8:00	37
8:10	30
8:20	24
8:30	23
8:40	31
8:50	25
9:00	41
9:10	19
9:20	23
9:30	28
9:50	33
10:00	33
10:10	23
10:30	27
10:40	32
10:50	16
11:00	29
11:10	24
11:30	21
11:40	37
11:50	12
12:00	31
12:10	26
12:30	26
12:40	32
12:50	20
13:00	44
13:10	30
13:30	28
13:40	35
13:50	18
14:00	37
14:10	30
14:20	68
14:30	31
14:40	38
14:50	26
15:00	36
15:10	30
15:20	38
15:30	33
15:40	34
15:50	29
16:00	31
16:10	28
16:20	37
16:30	31
16:40	34
16:50	32
17:00	37
17:10	34
17:20	36
17:30	36
17:40	40
17:50	39
18:00	35
18:10	28
18:20	31
18:30	32
18:40	29
18:50	36
19:00	33
19:10	28
19:20	37
19:30	29
19:40	30
19:50	27
20:00	31
20:10	26
20:20	25
20:30	16
20:40	33
20:50	24
21:10	20
21:30	23
21:50	17
22:00	28
22:10	31
22:20	34
22:30	18
22:50	24
23:10	24
23:30	15
23:40	25
23:50	24
