date	close
5:20	38
5:30	38
5:40	39
5:50	39
6:00	64
6:10	41
6:20	45
6:30	41
6:40	43
6:50	51
7:00	48
7:10	56
7:20	55
7:30	59
7:40	59
7:50	58
8:00	61
8:10	51
8:20	53
8:30	53
8:40	52
8:50	64
9:00	58
9:10	59
9:20	57
9:30	58
9:40	61
10:00	58
10:10	58
10:20	58
10:30	59
10:40	80
11:00	52
11:10	56
11:20	59
11:30	52
11:40	64
12:00	55
12:10	57
12:20	67
12:30	56
12:50	63
13:00	73
13:10	65
13:30	67
13:40	57
13:50	62
14:00	82
14:10	56
14:20	74
14:30	55
14:40	76
14:50	61
15:00	71
15:10	74
15:20	69
15:30	72
15:40	86
15:50	74
16:10	74
16:20	73
16:30	72
16:40	78
16:50	77
17:00	82
17:10	79
17:20	74
17:30	72
17:40	73
17:50	63
18:00	68
18:10	69
18:20	62
18:30	71
18:40	65
18:50	69
19:00	63
19:10	61
19:20	65
19:30	62
19:40	64
19:50	68
20:00	65
20:20	67
20:30	75
20:40	68
20:50	57
21:00	46
21:10	47
21:20	45
21:40	43
21:50	48
22:00	43
22:10	48
22:20	41
22:40	43
22:50	42
23:00	40
23:10	45
23:20	40
23:40	43
23:50	40
