date	close
4:40	49
5:10	51
5:30	56
5:40	61
5:50	59
6:00	64
6:10	43
6:20	52
6:30	42
6:40	52
6:50	52
7:00	62
7:10	91
7:20	81
7:30	111
7:40	70
7:50	100
8:00	66
8:10	91
8:20	76
8:30	61
8:40	103
8:50	73
9:00	87
9:10	69
9:20	89
9:30	36
9:40	66
10:00	58
10:10	74
10:20	55
10:30	97
10:40	78
11:00	74
11:20	86
11:30	92
11:40	62
11:50	78
12:00	78
12:20	68
12:40	85
12:50	91
13:00	93
13:20	81
13:30	81
13:40	76
13:50	75
14:00	72
14:10	70
14:20	96
14:30	76
14:40	126
14:50	79
15:00	96
15:10	88
15:20	99
15:30	70
15:40	75
15:50	92
16:00	80
16:10	113
16:20	83
16:30	108
16:40	89
16:50	112
17:00	121
17:10	96
17:20	85
17:30	105
17:40	121
17:50	91
18:00	93
18:10	119
18:20	67
18:30	94
18:40	74
18:50	87
19:00	72
19:20	83
19:40	67
20:00	61
20:20	57
20:40	70
21:00	80
21:10	41
21:20	71
21:30	50
21:40	77
21:50	40
22:00	88
22:10	42
22:20	89
22:30	32
22:40	64
22:50	45
23:00	83
23:10	49
23:20	75
23:30	36
23:40	70
23:50	42
