date	close
4:40	48
5:10	67
5:30	63
5:40	72
5:50	42
6:00	59
6:10	58
6:20	68
6:30	51
6:40	65
6:50	73
7:00	64
7:10	77
7:20	70
7:30	92
7:40	69
7:50	100
8:00	64
8:10	90
8:20	73
8:30	56
8:40	93
8:50	66
9:00	78
9:10	65
9:20	80
9:30	42
9:40	64
10:00	62
10:10	77
10:20	38
10:30	76
10:40	71
11:00	72
11:20	67
11:30	83
11:40	65
11:50	91
12:00	77
12:20	78
12:40	73
12:50	96
13:00	82
13:20	75
13:30	74
13:40	70
13:50	93
14:00	101
14:10	60
14:20	88
14:30	79
14:40	88
14:50	74
15:00	81
15:10	73
15:20	96
15:30	71
15:40	82
15:50	104
16:00	71
16:10	103
16:20	80
16:30	114
16:40	84
16:50	101
17:00	78
17:10	94
17:20	73
17:30	87
17:40	83
17:50	97
18:00	71
18:10	105
18:20	70
18:30	89
18:40	76
18:50	84
19:00	60
19:20	63
19:40	75
20:00	83
20:20	65
20:40	68
20:50	42
21:00	78
21:10	40
21:20	71
21:30	40
21:40	73
21:50	40
22:00	80
22:10	37
22:20	65
22:40	71
22:50	38
23:00	74
23:10	58
23:20	69
23:30	44
23:40	64
23:50	40
