date	close
4:50	37
5:10	28
5:20	26
5:30	51
5:40	39
5:50	32
6:00	28
6:10	25
6:20	23
6:30	23
6:40	27
6:50	28
7:00	30
7:10	32
7:20	27
7:30	37
7:40	30
7:50	35
8:00	35
8:10	34
8:20	29
8:30	31
8:40	35
8:50	33
9:00	27
9:10	42
9:20	31
9:30	45
9:40	21
9:50	39
10:00	37
10:10	37
10:20	31
10:30	49
10:40	19
10:50	41
11:00	35
11:10	43
11:20	44
11:30	45
11:40	25
11:50	43
12:00	41
12:10	44
12:20	25
12:30	52
12:40	67
12:50	47
13:00	23
13:10	53
13:20	42
13:30	58
13:40	30
14:00	48
14:10	58
14:20	38
14:40	42
14:50	42
15:00	47
15:10	56
15:20	33
15:30	29
15:40	34
15:50	41
16:00	31
16:10	29
16:20	33
16:30	36
16:40	31
16:50	29
17:00	39
17:10	33
17:20	31
17:30	35
17:40	30
17:50	30
18:00	29
18:10	36
18:20	26
18:30	33
18:40	26
18:50	30
19:00	26
19:10	33
19:20	28
19:30	44
19:40	22
19:50	54
20:00	29
20:10	41
20:20	21
20:30	39
20:40	23
20:50	41
21:00	21
21:10	50
21:20	39
21:40	29
21:50	41
22:00	19
22:10	30
22:20	18
22:40	23
22:50	26
23:00	22
23:10	51
23:20	19
23:40	22
