date	close
5:00	53
5:20	59
5:40	44
6:00	34
6:10	54
6:20	44
6:30	51
6:40	46
6:50	60
7:00	52
7:10	68
7:20	55
7:30	62
7:40	52
7:50	86
8:00	52
8:10	70
8:20	36
8:30	63
8:40	48
8:50	58
9:00	61
9:10	51
9:30	60
9:40	54
10:00	47
10:10	46
10:20	94
10:30	41
10:40	46
10:50	65
11:00	53
11:10	54
11:20	57
11:40	56
11:50	50
12:00	62
12:10	53
12:20	40
12:30	53
12:40	63
12:50	48
13:00	51
13:10	64
13:20	47
13:30	55
13:40	56
13:50	69
14:00	50
14:10	50
14:20	70
14:30	56
14:40	36
14:50	52
15:00	66
15:10	60
15:20	50
15:30	58
15:40	62
15:50	42
16:00	55
16:10	64
16:20	60
16:30	50
16:40	59
16:50	61
17:00	64
17:10	55
17:20	54
17:30	74
17:40	58
17:50	72
18:00	32
18:10	61
18:20	57
18:30	70
18:40	41
18:50	79
19:00	68
19:10	62
19:20	47
19:30	56
19:40	44
19:50	56
20:00	45
20:10	51
20:20	58
20:30	56
20:40	49
20:50	55
21:00	63
21:20	44
21:30	48
21:40	40
22:00	40
22:10	53
22:20	43
22:30	57
22:40	25
22:50	60
23:10	55
23:20	32
23:30	45
23:40	27
23:50	57
