date	close
4:50	40
5:20	41
5:40	47
6:00	57
6:10	43
6:20	56
6:30	52
6:40	44
6:50	69
7:00	58
7:10	112
7:20	45
7:30	75
7:40	53
7:50	50
8:00	69
8:10	51
8:20	71
8:30	45
8:40	59
8:50	52
9:10	47
9:20	56
9:30	29
9:40	66
9:50	51
10:10	44
10:20	74
10:30	51
10:50	44
11:00	53
11:10	34
11:20	53
11:30	52
11:40	60
11:50	37
12:00	75
12:10	51
12:30	49
12:40	53
12:50	32
13:00	102
13:10	57
13:30	58
13:40	91
13:50	41
14:00	52
14:10	72
14:20	40
14:30	72
14:40	67
15:00	97
15:10	71
15:20	49
15:30	62
15:40	86
15:50	41
16:00	84
16:10	58
16:30	76
16:40	68
16:50	79
17:00	56
17:10	75
17:20	70
17:30	75
17:40	50
17:50	73
18:00	55
18:10	63
18:20	48
18:30	50
18:40	65
18:50	43
19:10	54
19:30	50
19:40	63
19:50	32
20:00	65
20:20	77
20:30	44
20:50	51
21:10	52
21:20	63
21:30	28
21:40	49
22:00	55
22:20	70
22:30	41
22:50	57
23:10	50
23:30	42
23:50	46
