date	close
4:40	29
5:00	46
5:10	24
5:30	51
5:40	45
6:00	43
6:10	46
6:20	71
6:30	50
6:40	49
6:50	87
7:00	62
7:10	67
7:20	91
7:30	68
7:40	73
7:50	92
8:00	70
8:10	66
8:20	103
8:30	67
8:40	77
8:50	105
9:00	61
9:10	56
9:20	97
9:30	67
9:40	63
9:50	94
10:00	49
10:10	65
10:20	77
10:30	57
10:40	61
10:50	82
11:00	56
11:10	63
11:20	105
11:30	59
11:40	74
12:00	70
12:10	94
12:20	65
12:30	70
12:40	70
13:00	71
13:10	60
13:20	91
13:30	69
13:40	70
13:50	82
14:00	69
14:10	79
14:20	69
14:30	84
14:40	79
14:50	112
15:00	88
15:10	90
15:20	102
15:30	85
15:40	93
15:50	106
16:00	88
16:10	73
16:20	111
16:30	89
16:40	107
16:50	99
17:00	117
17:10	92
17:20	103
17:30	77
17:40	98
17:50	79
18:00	121
18:10	80
18:20	100
18:30	66
18:40	87
18:50	62
19:00	83
19:10	84
19:30	59
19:40	72
19:50	53
20:00	123
20:10	55
20:30	50
20:40	72
20:50	39
21:00	82
21:10	41
21:20	69
21:30	57
21:40	65
21:50	49
22:00	51
22:20	48
22:40	59
23:00	47
23:20	51
23:30	43
23:40	75
23:50	29
