date	close
4:30	35
4:50	40
5:10	48
5:30	40
5:40	43
6:00	39
6:10	44
6:20	39
6:30	46
6:40	38
6:50	54
7:00	50
7:10	58
7:20	49
7:30	57
7:40	50
7:50	59
8:00	56
8:10	66
8:20	54
8:30	63
8:40	49
8:50	56
9:00	52
9:10	63
9:20	60
9:30	75
9:40	50
9:50	56
10:00	59
10:20	58
10:30	71
10:40	45
10:50	73
11:00	68
11:20	72
11:30	76
11:40	47
11:50	63
12:00	87
12:10	57
12:20	71
12:30	63
12:50	54
13:00	59
13:20	63
13:30	78
13:40	61
13:50	53
14:00	72
14:10	60
14:30	57
14:40	61
14:50	76
15:00	63
15:10	79
15:20	67
15:30	67
15:40	68
15:50	68
16:00	61
16:10	71
16:20	72
16:30	64
16:40	80
16:50	79
17:00	93
17:10	81
17:20	113
17:30	79
17:40	67
17:50	72
18:00	77
18:10	80
18:20	60
18:30	71
18:40	77
18:50	86
19:00	71
19:10	66
19:20	67
19:30	60
19:40	54
19:50	57
20:00	60
20:10	53
20:30	53
20:40	44
20:50	60
21:00	49
21:20	57
21:30	53
21:40	46
22:00	46
22:10	54
22:20	48
22:40	45
22:50	55
23:00	52
23:10	50
23:20	33
23:30	42
23:40	48
23:50	59
