date	close
3:20	21
3:50	27
5:10	28
5:20	29
5:40	31
5:50	29
6:00	25
6:10	33
6:20	31
6:30	31
6:40	29
6:50	43
7:00	34
7:10	35
7:20	34
7:30	39
7:40	32
7:50	64
8:00	36
8:10	34
8:20	39
8:30	41
8:40	37
8:50	41
9:00	35
9:10	36
9:20	41
9:30	36
9:40	30
9:50	49
10:00	49
10:20	41
10:30	56
10:40	31
10:50	64
11:00	34
11:10	52
11:20	42
11:40	41
12:00	41
12:10	65
12:20	36
12:30	48
12:40	31
12:50	59
13:00	47
13:20	42
13:40	40
13:50	52
14:00	49
14:10	42
14:20	42
14:30	56
14:40	42
14:50	53
15:00	38
15:10	57
15:20	34
15:30	51
15:40	43
15:50	75
16:00	36
16:10	56
16:20	42
16:30	57
16:40	35
16:50	51
17:00	33
17:10	47
17:20	36
17:30	53
17:40	41
17:50	36
18:00	33
18:10	46
18:20	35
18:30	27
18:40	28
18:50	46
19:00	40
19:10	47
19:20	43
19:30	44
19:40	24
19:50	51
20:00	24
20:10	48
20:20	31
20:30	56
20:40	23
20:50	53
21:00	31
21:10	52
21:20	28
21:30	46
21:40	33
21:50	51
22:00	22
22:10	42
22:20	26
22:30	38
22:40	28
22:50	46
23:00	24
23:10	47
23:20	24
23:30	44
23:40	37
23:50	40
