RouteName,RouteDirection,AvgStartTime,AvgSch,AvgAct,AvgDiff
117,Inbound,260,10.0,7.840909090909091,-2.159090909090909
117,Inbound,270,16.87323943661972,17.507042253521128,0.6338028169014085
117,Inbound,280,13.294117647058824,12.647058823529411,-0.6470588235294118
117,Inbound,290,21.58695652173913,21.608695652173914,0.021739130434782608
117,Inbound,300,29.328767123287673,31.0,1.6712328767123288
117,Inbound,310,34.791666666666664,36.041666666666664,1.25
117,Inbound,320,34.791666666666664,35.833333333333336,1.0416666666666667
117,Inbound,330,16.633802816901408,15.619718309859154,-1.0140845070422535
117,Inbound,340,15.802197802197803,15.54945054945055,-0.25274725274725274
117,Inbound,350,15.50561797752809,15.101123595505618,-0.4044943820224719
117,Inbound,360,14.693693693693694,15.063063063063064,0.36936936936936937
117,Inbound,370,13.357798165137615,14.34862385321101,0.9908256880733946
117,Inbound,380,14.044871794871796,13.288461538461538,-0.7564102564102564
117,Inbound,390,13.046511627906977,12.546511627906977,-0.5
117,Inbound,400,18.640350877192983,18.087719298245613,-0.5526315789473685
117,Inbound,410,21.71014492753623,19.318840579710145,-2.391304347826087
117,Inbound,420,23.975,22.95,-1.025
117,Inbound,430,20.869565217391305,21.043478260869566,0.17391304347826086
117,Inbound,440,21.0,20.733333333333334,-0.26666666666666666
117,Inbound,450,21.314285714285713,21.642857142857142,0.32857142857142857
117,Inbound,460,19.528089887640448,21.370786516853933,1.8426966292134832
117,Inbound,470,19.627906976744185,20.930232558139537,1.302325581395349
117,Inbound,480,19.761194029850746,21.149253731343283,1.3880597014925373
117,Inbound,490,19.963963963963963,19.513513513513512,-0.45045045045045046
117,Inbound,500,20.985294117647058,23.441176470588236,2.4558823529411766
117,Inbound,510,19.71186440677966,19.74576271186441,0.03389830508474576
117,Inbound,520,19.975609756097562,17.51219512195122,-2.4634146341463414
117,Inbound,530,24.08955223880597,23.44776119402985,-0.6417910447761194
117,Inbound,540,23.227272727272727,21.954545454545453,-1.2727272727272727
117,Inbound,550,25.47826086956522,27.47826086956522,2.0
117,Inbound,560,28.53913043478261,29.782608695652176,1.2434782608695651
117,Inbound,570,32.244897959183675,30.408163265306122,-1.836734693877551
117,Inbound,580,32.08510638297872,30.361702127659573,-1.7234042553191489
117,Inbound,590,30.085714285714285,32.885714285714286,2.8
117,Inbound,600,30.48,32.26,1.78
117,Inbound,610,36.0,39.5,3.5
117,Inbound,620,30.782608695652176,29.982608695652175,-0.8
117,Inbound,630,31.416666666666668,30.416666666666668,-1.0
117,Inbound,640,37.5,34.5,-3.0
117,Inbound,650,30.633928571428573,30.017857142857142,-0.6160714285714286
