date	close
5:00	40
5:20	40
5:30	48
5:40	48
5:50	52
6:00	58
6:10	59
6:20	56
6:30	52
6:40	66
6:50	66
7:00	64
7:10	69
7:20	62
7:30	72
7:40	66
7:50	66
8:00	62
8:10	62
8:20	65
8:30	58
8:40	60
8:50	57
9:00	58
9:10	65
9:20	64
9:30	61
9:40	60
9:50	60
10:10	59
10:20	53
10:30	65
10:40	62
10:50	57
11:00	98
11:20	62
11:30	60
11:40	64
11:50	64
12:00	78
12:10	62
12:30	58
12:40	70
12:50	63
13:00	70
13:10	87
13:30	76
13:40	50
13:50	73
14:00	65
14:10	54
14:20	60
14:30	73
14:40	55
14:50	65
15:00	65
15:10	60
15:20	80
15:30	72
15:40	74
15:50	73
16:00	69
16:10	71
16:20	68
16:30	71
16:40	65
16:50	68
17:00	68
17:10	66
17:20	62
17:30	60
17:40	58
17:50	53
18:00	63
18:10	55
18:20	62
18:30	48
18:40	55
18:50	63
19:00	56
19:10	67
19:20	51
19:30	52
19:50	51
20:00	57
20:20	46
20:30	46
20:50	47
21:00	47
21:20	49
21:30	51
21:50	49
22:00	58
22:20	55
22:40	50
23:00	55
23:20	38
23:40	40
