date	close
5:10	55
5:30	48
5:50	52
6:10	49
6:20	36
6:30	49
6:50	64
7:00	24
7:10	50
7:20	37
7:30	49
7:40	39
7:50	45
8:00	40
8:20	57
8:30	30
8:40	54
9:00	65
9:30	63
10:00	74
10:30	95
11:00	79
11:30	96
12:00	106
12:30	78
12:50	76
13:10	77
13:30	79
13:50	71
14:10	73
14:30	79
14:50	58
15:10	69
15:30	76
16:00	75
16:10	66
16:30	76
17:00	54
17:20	80
17:30	37
17:40	76
18:00	56
18:30	31
18:40	69
19:00	32
19:20	71
19:30	40
20:00	54
20:10	34
20:30	25
20:40	61
21:10	28
21:20	46
21:30	21
22:00	62
22:40	45
23:20	42
