RouteName,RouteDirection,AvgStartTime,AvgSch,AvgAct,AvgDiff
57,Outbound,330,21.692307692307693,23.9010989010989,2.208791208791209
57,Outbound,340,21.492957746478872,24.929577464788732,3.436619718309859
57,Outbound,350,18.89887640449438,19.02247191011236,0.12359550561797752
57,Outbound,360,17.9010989010989,18.23076923076923,0.32967032967032966
57,Outbound,370,16.962616822429908,17.981308411214954,1.0186915887850467
57,Outbound,380,17.654205607476637,12.738317757009346,-4.91588785046729
57,Outbound,390,12.981981981981981,12.234234234234235,-0.7477477477477478
57,Outbound,400,10.125786163522013,10.238993710691824,0.11320754716981132
57,Outbound,410,9.301507537688442,8.864321608040202,-0.4371859296482412
57,Outbound,420,10.159235668789808,10.910828025477707,0.7515923566878981
57,Outbound,430,11.192090395480227,11.146892655367232,-0.04519774011299435
57,Outbound,440,9.634831460674157,10.48314606741573,0.848314606741573
57,Outbound,450,9.510460251046025,9.00418410041841,-0.5062761506276151
57,Outbound,460,9.765822784810126,10.443037974683545,0.6772151898734177
57,Outbound,470,9.311627906976744,9.413953488372092,0.10232558139534884
57,Outbound,480,10.633986928104575,12.601307189542483,1.9673202614379084
57,Outbound,490,11.1375,11.70625,0.56875
57,Outbound,500,12.033149171270718,13.662983425414364,1.6298342541436464
57,Outbound,510,11.85625,11.10625,-0.75
57,Outbound,520,11.985611510791367,12.683453237410072,0.697841726618705
57,Outbound,530,11.0,12.312849162011172,1.312849162011173
57,Outbound,540,10.78735632183908,13.505747126436782,2.718390804597701
57,Outbound,550,11.882352941176471,11.254901960784315,-0.6274509803921569
57,Outbound,560,11.68125,10.8125,-0.86875
57,Outbound,570,10.75,9.155405405405405,-1.5945945945945945
57,Outbound,580,11.209302325581396,12.866279069767442,1.6569767441860466
57,Outbound,590,11.25,9.955128205128204,-1.294871794871795
57,Outbound,600,11.514492753623188,10.94927536231884,-0.5652173913043478
57,Outbound,610,11.346153846153847,10.717948717948717,-0.6282051282051282
57,Outbound,620,11.39873417721519,11.468354430379748,0.06962025316455696
57,Outbound,630,11.405063291139241,12.487341772151899,1.0822784810126582
57,Outbound,640,11.38728323699422,11.236994219653178,-0.15028901734104047
57,Outbound,650,11.493421052631579,11.06578947368421,-0.4276315789473684
57,Outbound,660,11.355555555555556,10.916666666666666,-0.4388888888888889
57,Outbound,670,11.164634146341463,10.21951219512195,-0.9451219512195121
57,Outbound,680,12.049382716049383,8.925925925925926,-3.123456790123457
57,Outbound,690,11.708333333333334,13.631944444444445,1.9236111111111112
57,Outbound,700,11.804878048780488,11.804878048780488,0.0
57,Outbound,710,11.018181818181818,11.454545454545455,0.43636363636363634
57,Outbound,720,11.310160427807487,12.149732620320856,0.839572192513369
57,Outbound,730,11.005586592178771,10.960893854748603,-0.0446927374301676
57,Outbound,740,11.329608938547485,10.76536312849162,-0.5642458100558659
57,Outbound,750,10.788461538461538,11.173076923076923,0.38461538461538464
57,Outbound,760,10.621468926553673,10.344632768361581,-0.2768361581920904
57,Outbound,770,10.307262569832401,10.094972067039107,-0.2122905027932961
57,Outbound,780,10.63888888888889,10.066666666666666,-0.5722222222222222
57,Outbound,790,10.46629213483146,10.646067415730338,0.1797752808988764
57,Outbound,800,10.774193548387096,10.897849462365592,0.12365591397849462
57,Outbound,810,10.577777777777778,11.394444444444444,0.8166666666666667
57,Outbound,820,10.680473372781066,11.272189349112425,0.591715976331361
57,Outbound,830,11.30722891566265,11.686746987951807,0.3795180722891566
57,Outbound,840,12.364238410596027,12.920529801324504,0.5562913907284768
57,Outbound,850,15.50943396226415,14.427672955974844,-1.0817610062893082
57,Outbound,860,16.51086956521739,13.695652173913043,-2.8152173913043477
57,Outbound,870,8.612244897959183,7.3061224489795915,-1.3061224489795917
57,Outbound,880,4.747540983606557,5.540983606557377,0.7934426229508197
57,Outbound,890,0.7545126353790613,2.779783393501805,2.0252707581227436
57,Outbound,900,1.2546816479400749,1.550561797752809,0.2958801498127341
57,Outbound,910,9.297709923664122,12.251908396946565,2.954198473282443
57,Outbound,920,12.821705426356589,13.2015503875969,0.3798449612403101
57,Outbound,930,11.698795180722891,9.734939759036145,-1.963855421686747
57,Outbound,940,10.335260115606937,9.196531791907514,-1.138728323699422
57,Outbound,950,11.38993710691824,11.61006289308176,0.22012578616352202
57,Outbound,960,10.176767676767676,8.969696969696969,-1.207070707070707
57,Outbound,970,10.9060773480663,10.56353591160221,-0.3425414364640884
57,Outbound,980,12.941176470588236,14.360294117647058,1.4191176470588236
57,Outbound,990,12.948529411764707,12.698529411764707,-0.25
57,Outbound,1000,11.895061728395062,10.314814814814815,-1.5802469135802468
57,Outbound,1010,12.081967213114755,11.721311475409836,-0.36065573770491804
57,Outbound,1020,12.116022099447514,12.30939226519337,0.19337016574585636
57,Outbound,1030,12.0920245398773,13.938650306748466,1.8466257668711656
57,Outbound,1040,12.384615384615385,12.979020979020978,0.5944055944055944
57,Outbound,1050,12.317073170731707,12.853658536585366,0.5365853658536586
57,Outbound,1060,12.24074074074074,12.938271604938272,0.6975308641975309
57,Outbound,1070,12.275,12.075,-0.2
57,Outbound,1080,12.564245810055866,13.340782122905027,0.776536312849162
57,Outbound,1090,12.368421052631579,11.69078947368421,-0.6776315789473685
57,Outbound,1100,11.507142857142858,11.285714285714286,-0.22142857142857142
57,Outbound,1110,9.776536312849162,11.832402234636872,2.0558659217877095
57,Outbound,1120,8.773869346733669,6.899497487437186,-1.8743718592964824
57,Outbound,1130,8.939890710382514,7.967213114754099,-0.9726775956284153
57,Outbound,1140,8.323308270676693,12.154135338345865,3.830827067669173
