RouteName,RouteDirection,AvgStartTime,AvgSch,AvgAct,AvgDiff
32,Inbound,290,17.454545454545453,16.348484848484848,-1.106060606060606
32,Inbound,300,18.11764705882353,16.602941176470587,-1.5147058823529411
32,Inbound,310,11.100917431192661,11.256880733944953,0.1559633027522936
32,Inbound,320,10.354330708661417,10.228346456692913,-0.12598425196850394
32,Inbound,330,7.586956521739131,7.6521739130434785,0.06521739130434782
32,Inbound,340,6.377551020408164,6.698979591836735,0.32142857142857145
32,Inbound,350,4.950310559006211,4.6770186335403725,-0.2732919254658385
32,Inbound,360,7.6686046511627906,7.069767441860465,-0.5988372093023255
32,Inbound,370,4.1022727272727275,4.333333333333333,0.23106060606060605
32,Inbound,380,4.668122270742358,5.222707423580786,0.5545851528384279
32,Inbound,390,3.612732095490716,3.6153846153846154,0.002652519893899204
32,Inbound,400,2.4630071599045347,2.384248210023866,-0.07875894988066826
32,Inbound,410,3.315625,3.203125,-0.1125
32,Inbound,420,5.324,5.604,0.28
32,Inbound,430,4.285714285714286,4.244239631336406,-0.041474654377880185
32,Inbound,440,3.2379032258064515,3.782258064516129,0.5443548387096774
32,Inbound,450,2.765432098765432,2.683127572016461,-0.0823045267489712
32,Inbound,460,4.362676056338028,3.9190140845070425,-0.44366197183098594
32,Inbound,470,3.3179611650485437,3.2766990291262137,-0.0412621359223301
32,Inbound,480,3.6134185303514377,3.6773162939297124,0.06389776357827476
32,Inbound,490,4.248031496062992,4.633858267716535,0.3858267716535433
32,Inbound,500,2.9122137404580153,3.687022900763359,0.7748091603053435
32,Inbound,510,3.5482456140350878,3.6491228070175437,0.10087719298245613
32,Inbound,520,4.108870967741935,3.2016129032258065,-0.907258064516129
32,Inbound,530,4.629032258064516,4.149193548387097,-0.4798387096774194
32,Inbound,540,4.577092511013216,4.511013215859031,-0.06607929515418502
32,Inbound,550,3.8307086614173227,3.8464566929133857,0.015748031496062992
32,Inbound,560,5.9118942731277535,6.533039647577093,0.6211453744493393
32,Inbound,570,6.943396226415095,7.79874213836478,0.8553459119496856
32,Inbound,580,10.121951219512194,10.932926829268293,0.8109756097560976
32,Inbound,590,11.75,11.8828125,0.1328125
32,Inbound,600,12.428571428571429,10.659340659340659,-1.7692307692307692
32,Inbound,610,12.377777777777778,11.844444444444445,-0.5333333333333333
32,Inbound,620,13.725,12.883333333333333,-0.8416666666666667
32,Inbound,630,12.785714285714286,11.151785714285714,-1.6339285714285714
32,Inbound,640,12.927835051546392,11.948453608247423,-0.979381443298969
32,Inbound,650,12.73873873873874,12.72072072072072,-0.018018018018018018
32,Inbound,660,12.333333333333334,12.473684210526315,0.14035087719298245
32,Inbound,670,12.175438596491228,12.912280701754385,0.7368421052631579
32,Inbound,680,12.624113475177305,12.97163120567376,0.3475177304964539
32,Inbound,690,12.544554455445544,12.584158415841584,0.039603960396039604
32,Inbound,700,13.341176470588236,13.117647058823529,-0.2235294117647059
32,Inbound,710,13.389380530973451,12.123893805309734,-1.2654867256637168
32,Inbound,720,13.24468085106383,13.819148936170214,0.574468085106383
32,Inbound,730,13.065217391304348,15.333333333333334,2.2681159420289854
32,Inbound,740,13.237113402061855,14.288659793814434,1.0515463917525774
32,Inbound,750,13.368421052631579,12.31578947368421,-1.0526315789473684
32,Inbound,760,13.516949152542374,11.711864406779661,-1.805084745762712
32,Inbound,770,13.321428571428571,13.875,0.5535714285714286
32,Inbound,780,13.659574468085106,18.47872340425532,4.819148936170213
32,Inbound,790,13.194690265486726,12.849557522123893,-0.34513274336283184
32,Inbound,800,13.242105263157894,10.968421052631578,-2.2736842105263158
32,Inbound,810,13.078260869565218,14.0,0.9217391304347826
32,Inbound,820,13.298245614035087,15.456140350877194,2.1578947368421053
32,Inbound,830,13.377777777777778,16.2,2.8222222222222224
32,Inbound,840,13.29203539823009,14.176991150442477,0.8849557522123894
32,Inbound,850,11.136363636363637,5.636363636363637,-5.5
32,Inbound,860,5.742718446601942,5.189320388349515,-0.5533980582524272
32,Inbound,870,4.347266881028939,3.990353697749196,-0.35691318327974275
32,Inbound,880,6.0397727272727275,7.2897727272727275,1.25
32,Inbound,890,8.847715736040609,7.8578680203045685,-0.9898477157360406
32,Inbound,900,7.2631578947368425,8.335526315789474,1.0723684210526316
32,Inbound,910,11.08955223880597,11.813432835820896,0.7238805970149254
32,Inbound,920,9.816793893129772,9.351145038167939,-0.46564885496183206
32,Inbound,930,7.106796116504855,7.179611650485437,0.07281553398058252
32,Inbound,940,4.66530612244898,4.2693877551020405,-0.39591836734693875
32,Inbound,950,5.257575757575758,5.196969696969697,-0.06060606060606061
32,Inbound,960,5.191964285714286,4.598214285714286,-0.59375
32,Inbound,970,5.848360655737705,6.327868852459017,0.47950819672131145
32,Inbound,980,5.823255813953488,5.144186046511628,-0.6790697674418604
32,Inbound,990,2.32,2.552,0.232
32,Inbound,1000,4.7894736842105265,4.445344129554656,-0.3441295546558704
32,Inbound,1010,3.737051792828685,4.350597609561753,0.6135458167330677
32,Inbound,1020,4.621276595744681,4.791489361702127,0.1702127659574468
32,Inbound,1030,5.247572815533981,4.514563106796117,-0.7330097087378641
32,Inbound,1040,4.934865900383142,5.233716475095785,0.2988505747126437
32,Inbound,1050,3.2796934865900385,2.6590038314176243,-0.6206896551724138
32,Inbound,1060,4.524193548387097,4.42741935483871,-0.0967741935483871
32,Inbound,1070,4.402714932126697,5.217194570135747,0.8144796380090498
32,Inbound,1080,3.1699346405228757,3.2745098039215685,0.10457516339869281
32,Inbound,1090,4.923076923076923,4.452991452991453,-0.4700854700854701
