date	close
4:30	28
4:40	17
4:50	28
5:00	38
5:10	41
5:20	27
5:30	42
5:40	42
5:50	26
6:00	43
6:10	47
6:20	44
6:30	45
6:40	47
6:50	42
7:00	57
7:10	52
7:20	52
7:30	52
7:40	60
7:50	58
8:00	64
8:10	61
8:20	58
8:30	64
8:40	54
8:50	69
9:00	65
9:10	41
9:20	60
9:30	33
9:40	52
9:50	53
10:00	57
10:10	31
10:20	47
10:30	46
10:40	29
10:50	41
11:00	42
11:10	61
11:20	31
11:30	52
11:40	66
11:50	33
12:00	62
12:10	59
12:20	54
12:30	34
12:40	61
12:50	66
13:00	49
13:10	67
13:20	59
13:30	58
13:50	64
14:00	70
14:10	65
14:20	38
14:30	60
14:40	63
14:50	52
15:00	70
15:10	58
15:20	59
15:30	74
15:40	77
15:50	38
16:00	82
16:10	88
16:20	64
16:30	73
16:40	77
16:50	58
17:00	82
17:10	77
17:20	89
17:30	100
17:40	73
17:50	90
18:00	79
18:10	73
18:20	67
18:30	65
18:40	67
18:50	50
19:00	70
19:10	64
19:20	60
19:30	63
19:40	55
19:50	68
20:00	58
20:10	46
20:30	45
20:40	49
20:50	53
21:00	47
21:20	47
21:30	55
21:40	54
22:00	44
22:10	59
22:20	55
22:30	31
22:40	56
22:50	49
23:00	56
23:10	57
23:30	40
23:40	37
23:50	43
