date	close
17:00	12.95
17:10	11.43
17:20	9.51
17:30	8.22
17:40	7.91
17:50	11.99
18:00	9.51
18:10	19.45
18:20	7.60
18:30	6.99
18:40	8.59
18:50	11.67
19:00	4.48
19:10	5.28
19:20	5.75
19:30	6.92
19:40	7.63
19:50	2.65
20:00	4.43
20:10	4.06
20:20	3.41
20:30	4.83
20:40	3.03
21:00	3.11
21:10	4.05
21:20	2.70
21:40	3.58
21:50	3.75
22:00	3.36
22:10	3.89
22:20	5.24
22:30	5.85
22:40	6.02
22:50	3.44
23:10	4.30
23:20	6.71
23:30	3.26
23:50	3.09
4:30	3.24
4:50	5.23
5:10	4.31
5:30	2.82
5:40	2.94
6:00	2.03
6:10	3.09
6:20	4.16
6:30	3.63
6:40	3.96
6:50	3.70
7:00	3.52
7:10	3.84
7:20	3.17
7:30	3.89
