date	close
4:40	26
4:50	25
5:00	30
5:10	29
5:20	39
5:30	30
5:40	41
5:50	40
6:00	34
6:10	37
6:20	45
6:30	52
6:40	48
6:50	40
7:00	46
7:10	52
7:20	47
7:30	44
7:40	42
7:50	43
8:00	55
8:10	45
8:20	47
8:30	38
8:40	38
8:50	49
9:00	39
9:10	39
9:20	41
9:40	38
9:50	46
10:00	50
10:10	36
10:20	34
10:40	40
10:50	43
11:00	41
11:10	37
11:20	45
11:40	43
11:50	41
12:00	45
12:10	43
12:20	40
12:30	36
12:40	48
12:50	48
13:00	44
13:10	43
13:20	43
13:30	38
13:40	45
13:50	42
14:00	40
14:10	57
14:20	53
14:30	46
14:40	45
14:50	46
15:00	46
15:10	46
15:20	44
15:30	45
15:40	47
15:50	47
16:00	47
16:10	39
16:20	55
16:30	46
16:40	53
16:50	35
17:00	46
17:10	50
17:20	53
17:30	48
17:40	51
17:50	53
18:00	47
18:10	41
18:20	43
18:30	46
18:40	56
18:50	33
19:00	44
19:10	42
19:20	47
19:30	34
19:40	40
19:50	43
20:00	35
20:10	47
20:20	39
20:30	39
20:40	42
20:50	33
21:00	43
21:10	34
21:20	39
21:30	42
21:40	37
21:50	46
22:00	35
22:10	39
22:20	36
22:30	39
22:40	50
22:50	40
23:00	51
23:10	31
23:30	34
23:40	39
23:50	47
