date	close
5:10	47
5:30	39
5:50	39
6:00	35
6:10	47
6:20	35
6:30	53
6:40	29
6:50	51
7:00	24
7:10	44
7:20	36
7:30	40
7:40	30
7:50	41
8:00	35
8:20	45
8:30	24
8:40	45
9:00	52
9:30	60
9:40	34
10:00	54
10:10	34
10:30	55
10:50	37
11:00	70
11:20	39
11:30	64
12:00	51
12:30	62
12:40	34
12:50	60
13:10	51
13:30	43
13:50	45
14:10	67
14:20	36
14:30	52
14:50	61
15:00	46
15:10	59
15:30	78
15:40	33
16:00	63
16:10	60
16:30	60
16:50	35
17:00	46
17:20	48
17:30	31
17:40	69
18:00	44
18:30	32
18:40	45
19:00	26
19:10	22
19:20	63
19:30	17
19:50	35
20:00	40
20:10	39
20:30	22
20:40	48
21:00	18
21:10	31
21:20	38
21:30	18
22:00	38
22:40	34
23:20	34
