date	close
5:10	25
5:20	30
5:30	23
5:40	27
6:00	26
6:10	34
6:20	44
6:30	36
6:40	43
6:50	41
7:00	41
7:10	42
7:20	49
7:30	44
7:40	56
7:50	45
8:00	54
8:10	46
8:20	39
8:30	43
8:40	55
8:50	39
9:00	33
9:10	38
9:20	34
9:30	31
9:40	35
9:50	42
10:00	31
10:10	35
10:20	41
10:30	35
10:40	33
10:50	48
11:00	44
11:10	46
11:20	46
11:30	52
11:40	42
12:00	40
12:10	49
12:20	43
12:30	51
12:40	44
12:50	35
13:00	50
13:10	45
13:20	45
13:30	47
13:40	45
13:50	53
14:00	39
14:10	45
14:20	49
14:30	41
14:40	48
14:50	50
15:00	45
15:10	51
15:20	47
15:30	50
15:40	47
15:50	50
16:00	54
16:10	47
16:20	50
16:30	46
16:40	65
16:50	51
17:00	49
17:10	58
17:20	44
17:30	49
17:40	51
17:50	54
18:00	42
18:10	48
18:20	52
18:30	42
18:40	34
18:50	47
19:00	32
19:10	38
19:20	26
19:30	29
19:40	28
19:50	39
20:00	27
20:10	28
20:20	34
20:30	37
20:40	28
20:50	31
21:00	33
21:10	26
21:20	38
21:30	39
21:40	32
21:50	43
22:00	29
22:10	31
22:20	32
22:30	35
22:40	22
22:50	31
23:00	35
23:10	30
23:20	39
23:30	40
23:40	30
23:50	33
