date	close
5:20	37
6:00	41
6:10	48
6:30	48
6:40	27
6:50	48
7:00	24
7:10	44
7:20	30
7:30	39
7:40	19
7:50	31
8:00	53
8:20	60
8:30	67
8:50	54
9:10	55
9:30	60
10:00	76
10:30	85
11:00	58
11:30	83
12:00	71
12:30	60
13:00	74
13:20	60
13:40	68
14:00	64
14:30	67
14:50	67
15:10	75
15:30	69
15:50	69
16:10	51
16:30	78
16:40	54
16:50	64
17:10	58
17:30	77
17:40	35
17:50	71
18:00	54
18:10	37
18:30	59
18:50	34
19:00	65
19:20	46
19:30	64
19:50	31
20:10	82
20:20	36
20:50	47
21:20	34
21:30	60
21:50	34
22:10	58
22:50	59
23:30	86
