date	close
4:50	2.50
5:10	2.07
5:20	2.21
5:30	2.65
5:40	1.92
5:50	2.54
6:00	1.84
6:10	2.27
6:20	3.04
6:30	2.13
6:40	2.16
6:50	2.46
7:00	3.19
7:10	2.60
7:20	2.48
7:30	2.28
7:40	2.62
7:50	2.74
8:00	2.40
8:10	2.25
8:20	2.33
8:30	2.34
8:40	2.63
8:50	2.52
9:00	2.34
9:10	3.44
9:20	3.78
9:30	2.93
9:50	2.37
10:00	3.68
10:10	3.67
10:20	3.13
10:30	3.75
10:50	2.42
11:00	3.22
11:10	3.00
11:20	3.23
11:30	3.10
11:50	2.73
12:00	3.52
12:10	3.73
12:30	2.69
12:40	5.41
12:50	5.13
13:10	4.82
13:20	3.94
13:30	3.86
13:40	5.51
14:00	5.92
14:10	10.97
14:20	5.08
14:40	4.08
14:50	3.15
15:00	5.06
15:10	7.68
15:20	2.86
15:30	2.82
15:40	2.43
15:50	3.34
16:00	3.34
16:10	2.49
16:20	4.54
16:30	2.73
16:40	3.44
16:50	2.50
17:00	3.11
17:10	4.07
17:20	3.04
17:30	3.01
17:40	2.45
17:50	3.15
18:00	3.51
18:10	3.08
18:20	2.71
18:30	2.62
18:40	2.72
18:50	3.19
19:00	2.42
19:10	2.57
19:20	7.05
19:30	2.81
19:40	2.48
19:50	2.87
20:00	4.41
20:10	3.23
20:20	3.92
20:30	2.59
20:50	3.82
21:10	4.07
21:20	7.35
21:40	4.43
21:50	6.03
22:10	4.57
22:20	6.53
22:40	1.98
22:50	1.28
23:10	3.03
23:20	1.20
23:40	2.20
