date	close
5:20	34
5:40	36
6:00	30
6:10	37
6:20	34
6:30	39
6:40	35
6:50	33
7:00	41
7:10	33
7:20	40
7:30	38
7:40	45
7:50	42
8:00	41
8:10	47
8:20	39
8:30	54
8:40	33
8:50	34
9:00	41
9:20	43
9:30	55
9:40	29
9:50	42
10:00	38
10:20	37
10:30	41
10:40	37
11:00	36
11:10	46
11:20	34
11:30	49
11:40	40
11:50	54
12:00	28
12:10	54
12:20	39
12:40	41
12:50	52
13:00	23
13:10	41
13:20	43
13:30	40
13:40	49
13:50	35
14:00	44
14:10	52
14:20	53
14:30	36
14:40	43
14:50	54
15:00	34
15:10	57
15:20	57
15:30	74
15:40	44
15:50	51
16:00	33
16:10	48
16:20	60
16:30	47
16:40	57
16:50	45
17:00	45
17:10	53
17:20	55
17:30	43
17:40	54
17:50	50
18:00	49
18:10	43
18:20	41
18:30	57
18:40	45
19:00	34
19:10	50
19:20	34
19:30	49
19:40	32
19:50	52
20:00	41
20:20	36
20:40	38
20:50	16
21:00	38
21:10	48
21:20	27
21:30	38
21:40	27
21:50	42
22:00	36
22:20	37
22:40	36
23:00	34
23:20	33
23:40	35
