date	close
4:40	2.18
5:00	4.00
5:40	2.26
6:00	2.13
6:10	2.31
6:30	3.94
6:40	1.18
6:50	2.60
7:00	2.75
7:10	3.22
7:20	2.25
7:30	4.49
7:40	6.48
7:50	3.79
8:00	2.95
8:10	3.89
8:20	3.26
8:30	3.36
8:40	3.44
8:50	3.44
9:00	3.04
9:10	3.50
9:20	2.85
9:30	4.17
9:40	3.72
9:50	3.70
10:00	3.85
10:10	4.36
10:20	4.87
10:30	3.68
10:40	4.23
10:50	5.13
11:00	3.35
11:10	3.75
11:20	3.00
11:30	5.05
11:40	4.36
11:50	3.42
12:00	4.01
12:10	4.24
12:20	4.04
12:30	3.51
12:40	3.26
12:50	4.54
13:00	4.90
13:10	4.27
13:20	2.82
13:30	5.55
13:40	2.61
13:50	3.14
14:00	4.11
14:10	5.41
14:20	2.93
14:30	5.39
14:40	3.41
14:50	4.25
15:00	6.13
15:10	5.61
15:20	3.83
15:30	3.19
15:40	5.70
15:50	5.89
16:00	3.21
16:10	6.16
16:20	3.58
16:30	5.83
16:40	4.66
16:50	3.87
17:00	6.84
17:10	3.24
17:20	4.20
17:30	8.05
17:40	4.66
17:50	4.34
18:00	4.18
18:10	2.61
18:20	3.81
18:30	2.43
18:40	2.96
18:50	2.73
19:00	2.68
19:10	5.25
19:20	2.85
19:30	3.60
19:40	1.09
19:50	3.39
20:00	2.80
20:10	2.24
20:20	3.22
20:30	2.82
20:40	3.79
21:00	3.01
21:10	3.86
21:20	3.83
21:30	1.09
21:40	2.43
22:00	3.15
22:10	6.59
22:20	4.60
22:30	2.59
22:40	4.14
23:00	15.59
23:10	1.50
23:20	3.25
23:30	3.55
23:40	4.75
